trial,contrast_left,contrast_right,response,feedback,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
96,0.0,0.0,0.0,1.0,0.41178714833350283,0.11335058054531186,0.009528068774152826,-0.16692473210814807,-0.07735472226017864,0.04185598805737146,0.023102238355449604,-0.028335120467271074,-0.03774784738686622,-0.018265649455797596
97,0.25,1.0,-1.0,1.0,0.3873912920138015,0.11121599446374411,0.029319238128342497,-0.21121406417317629,-0.09981006093692847,0.028594018543608594,0.0114938211327651,0.004950562781756173,-0.06023733079087649,-0.07762406068630023
98,1.0,0.0,1.0,1.0,0.4292412393730545,0.060135140092031414,0.013018043833952324,-0.213442849879862,-0.08152227897852674,0.047432518441208306,0.05271045452130498,-0.0530800077668561,-0.0007020631734999067,0.0002907885136735414
99,0.0,0.0,0.0,1.0,0.35439261725600474,0.053507103527103465,0.05252409917566907,-0.2302993087978387,-0.1103092358712149,-0.0022874434360910306,0.023107399339757556,-0.021989851242602373,-0.014721751768654446,-0.026085652254591588
100,0.0,0.5,-1.0,1.0,0.3435700233539851,0.008472516306594267,0.07011244229547367,-0.1557632131389599,-0.1177748091184106,0.0034012795616164882,0.0711600093963391,-0.04270245058979756,-0.01993776074126233,-0.09408201439685482
101,0.0,1.0,-1.0,1.0,0.37661483619574304,0.057406078746989525,0.0928554764686509,-0.20795886350235854,-0.12354280633891891,0.061074498364260814,0.0162924090139733,-0.044067657750515694,0.01433188087287783,-0.0206996449203776
102,0.0,1.0,-1.0,1.0,0.374940954171405,-0.004256627615961035,0.13275995026270565,-0.20333902356715441,-0.12448002555747753,0.005252576306846511,0.05061324914875926,0.025676049535557233,-0.03491318028298904,-0.09768799718021594
103,0.5,0.0,1.0,1.0,0.314056958565247,-0.007628478975417784,0.11905707181766353,-0.1828244944923846,-0.09449325440745639,0.002246069008319252,0.05510370824522191,-0.029317133130704602,0.038234609041586716,-0.06951235223306501
104,0.5,0.25,1.0,1.0,0.34372609333266047,-0.003495315248245624,0.06826918252368236,-0.14693158892108343,-0.107846989849836,0.014305759760007029,0.03523206438552039,-0.03269890696099136,0.07060010831836357,-0.04186311533945296
105,0.0,0.0,-1.0,-1.0,0.37243987306628945,-0.06037727851946631,0.10822700694343915,-0.1857029416724923,-0.0293884308649919,-0.028173151230996257,0.02509494380252734,-0.036734830831097805,0.007977209812773011,-0.023602781900799768
106,0.0,0.0,0.0,1.0,0.31930901252476496,-0.06276651006810152,0.09903375901606246,-0.1523948204455773,-0.12568951874600065,0.03687291012329836,0.07008217366131156,-0.03192211131674558,0.03650295865094456,-0.022541467216769126
107,0.5,0.0,1.0,1.0,0.33384396144598194,-0.011006627356604579,0.10705230959855316,-0.12174835401028526,-0.04292444836421099,-0.011046829892899701,0.04133296563469359,-0.02574462162184889,0.004939323378886243,-0.039577317699056945
108,1.0,0.0,1.0,1.0,0.3190960353048783,-0.05616239433546278,0.11159079824193889,-0.1063018752669608,-0.09255926955673263,-0.011513996254235015,0.07690563665391349,-0.013869374619858429,0.03831768797490516,-0.013843265193490968
109,0.5,0.0,1.0,1.0,0.34177269945242683,-0.06618002732674379,0.06656943427864642,-0.13338339543378872,-0.060156067898555945,-0.04303621810683463,0.06525515017824307,-0.0013611820418995915,0.01494049626507803,-0.041544366968073655
110,0.5,0.25,1.0,1.0,0.2682775032515152,-0.06846996166104777,0.12707067047315604,-0.1474564698484365,-0.10014726922145491,-0.0407496731549003,0.08077497583993867,-0.00831320098213312,0.06708138135135422,-0.002825555026336426
111,0.25,1.0,-1.0,1.0,0.2716694936379585,-0.1390180212847496,0.14841268606035168,-0.09384508864981952,-0.04291354803453817,-0.0369823983248002,0.0924101300823321,0.011493505012138075,0.033962050068140806,0.003285426182464062
112,0.0,0.0,0.0,1.0,0.2459663569795478,-0.08574264644471388,0.12279260044451805,-0.10423391500101474,-0.0242549453474369,-0.055938034944289644,0.09967985639861407,-0.022703637326605155,0.001750548710098374,0.0260614868483703
113,0.0,0.0,1.0,-1.0,0.2611893352364368,-0.11196021654399416,0.13257337369540226,-0.1333252996025752,-0.033419704930429686,-0.0358241613711541,0.10293215941405685,-0.02359960595451273,-0.009153629162173391,-0.060462202164921326
114,0.0,0.0,-1.0,-1.0,0.23776651535157195,-0.1274276597177518,0.10120297806348484,-0.0576922822378853,-0.05410387296762179,-0.06262196980230433,0.09893659334257025,-0.07966522383350276,0.0811192597756069,0.0014857869522011623
115,0.0,0.0,1.0,-1.0,0.24539594584282393,-0.07574856306479104,0.13969023355409824,-0.1330776594605138,-0.034319543269044364,-0.06573950073600508,0.0897748814064601,-0.022704038739278468,0.027697531238781655,-0.022460290322267214
116,0.0,0.0,0.0,1.0,0.2313356474380514,-0.07315946546541736,0.10691700627004652,-0.08722820457601707,0.0008711751287179825,-0.05834477576276734,0.0517397032120559,-0.034414799999471064,0.02783588004967227,-0.003249651651451454
117,0.0,0.0,0.0,1.0,0.23061806204904806,-0.1284313460424747,0.11104817233890818,-0.061747027307769854,0.0026165025532757327,-0.05424112618353873,0.0843426058297494,0.00656828951448371,0.1129968354448469,0.040210378706307066
118,0.25,1.0,-1.0,1.0,0.24150238044305333,-0.0846368570489551,0.11189075668126246,-0.0529248122701807,0.0070535458855716104,-0.025813777973187353,0.04550715007308017,-0.0561990005896538,0.02713625773682318,-0.07734722388911139
119,0.0,0.0,-1.0,-1.0,0.22797962136890074,-0.16827424752372808,0.16392330249049775,-0.03918764023369594,-0.0005301195288797167,-0.07402028553309516,0.08213626958839969,-0.029623413654058028,0.07126331776764806,0.05225244781692953
120,0.0,0.0,-1.0,-1.0,0.27200098901357084,-0.20560317017996138,0.1591873836832021,-0.026959545692975637,0.005455858730495152,-0.040768234706194714,0.07569299646742546,-0.034476808816588676,0.08447740344324968,0.024148646834003012
121,0.0,0.0,-1.0,-1.0,0.20914101348720743,-0.18780523123779705,0.1308441872496647,-0.042019866124483975,0.014354079330129905,-0.08527823727105671,0.07095260678066216,-0.007232123387911786,0.037663621095454555,0.026913572075691537
