PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,run_speed,pupil_area,face_motion,neuron_0,neuron_207,neuron_414,neuron_622,neuron_829,neuron_1037,neuron_1244,neuron_1451,neuron_1659,neuron_1866,neuron_2074,neuron_2281,neuron_2488,neuron_2696,neuron_2903,neuron_3111,neuron_3318,neuron_3525,neuron_3733,neuron_3940,neuron_4148,neuron_4355,neuron_4562,neuron_4770,neuron_4977,neuron_5185,neuron_5392,neuron_5600,neuron_5807,neuron_6014,neuron_6222,neuron_6429,neuron_6637,neuron_6844,neuron_7051,neuron_7259,neuron_7466,neuron_7674,neuron_7881,neuron_8088,neuron_8296,neuron_8503,neuron_8711,neuron_8918,neuron_9125,neuron_9333,neuron_9540,neuron_9748,neuron_9955,neuron_10163
-0.6144578,2.7176332,9.08022,5.1341963,0.27247122,2.2905025,-0.96716183,1.7456982,-1.0547762,4.200051,-0.5269476,1.3254309,-2.087997,0.42153233,-1.7659334,-0.3450786,-3.90592,-0.22304069,-2.5954988,3.7444,0.23917172020049154,2751.498148801392,30.86717987060547,0.0,0.0,0.0,0.0,171.50946,0.0,0.0,9.945844,0.0,83.21928,0.0,0.0,0.0,0.0,357.42715,0.0,0.0,54.855686,32.516243,146.24638,35.636402,0.0,0.0,0.0,8.53974,0.0,7.8399158,0.0,0.0,0.0,0.0,0.0,21.4371,21.48147,0.0,1.044681,0.0,0.0,32.221325,0.0,52.789085,45.630196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5366218,-1.6140474,4.2725787,3.893759,-0.54870117,4.288546,6.8994365,-1.312875,-3.5900233,-3.6684527,-0.6262361,-1.0543745,2.629764,-1.7261816,0.9024742,1.3446347,-2.553832,3.499934,0.9497748,1.754391,6.148168138087032e-05,2885.42734005126,-336.02288818359375,0.0,0.0,91.92213,98.48764,0.0,12.220642,0.0,212.6063,142.23346,0.0,0.0,0.0,0.0,0.0,0.0,176.20978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.58892,0.0,0.0,17.28054,0.0,138.8396,0.0,0.0,108.97336,0.0,7.5029087,0.0,0.0,0.0,0.0,0.0,17.46178,223.70291,87.63045,20.748655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.3455954,0.54432166,1.1686332,2.4909422,0.97971326,1.7316178,0.7246637,-0.9500039,-0.79291266,0.3823726,-0.8835908,-0.45392329,0.37958077,0.2718829,0.049051035,0.398454,1.4567822,-0.8136762,3.9984903,0.5897583,0.012954898367153835,3058.7241036921646,-309.32574462890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.7689,0.0,0.0,123.31823,178.34407,0.0,47.303837,0.0,1002.07697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.425809,0.0,0.0,0.0,0.0,0.0,0.0,36.674404,0.0,53.94462,171.2038,202.31941,0.0,157.20058,0.0,90.37339,174.96935,0.0,0.0,39.2621,0.0,0.0,0.0,0.0,0.0,0.0
5.2031984,-3.5822706,1.1213468,0.9118555,15.296489,-0.91453475,13.153573,-3.5903387,1.8344775,8.363333,-9.851078,3.9287717,-4.884542,-3.7721026,-5.036522,3.2627077,5.6345406,-4.1021843,2.1359046,-0.62674826,0.0,3032.4902897807365,-344.4432373046875,76.3244,0.0,0.0,112.903145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.683464,0.0,0.0,0.0,160.72153,0.0,10.653735,0.0,0.0,0.0,0.0,54.566654,56.231796,0.0,0.0,0.0,113.76926,0.0,0.0,76.948555,14.086593,0.0,44.186306,0.0,16.149261,4.04654,0.0,116.770615,0.0,75.71683,5.006423,16.353598,0.0,0.0,0.0,0.0,0.0,0.0
-4.157174,-4.2449913,-2.454686,-3.4054275,-2.2237043,-3.0679772,2.7763371,4.0590024,-1.2575862,-2.1718569,-2.5481286,0.31780922,-0.0038990427,3.7399833,2.2338483,3.043087,-0.6565691,0.8349143,-1.0669286,1.759224,0.0,2975.7139650592944,-357.2876281738281,73.41451,0.0,177.62364,0.0,0.0,0.0,162.76709,870.25977,0.0,44.55128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.408173,60.26946,0.0,0.0,0.0,3.760548,0.0,0.0,0.0,175.12886,0.0,8.389446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.402252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-16.677593,-2.4454417,-0.9587472,-1.8228996,2.28357,3.9392047,3.1681979,-1.6759149,3.4983523,2.565694,0.20380661,2.4839075,0.952956,0.5915511,1.209518,-2.96017,2.169371,-0.7191925,1.7302685,0.02776025,0.0,2761.019889119334,-206.36663818359375,0.0,8.001782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.765656,0.0,0.0,73.19211,0.0,107.349174,0.0,0.0,0.0,0.0,0.0,17.952576,0.0,0.0,0.0,105.57834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.38634,51.812534,0.0,0.0,0.0,0.0,0.0,91.19582,0.0,0.0,0.0,0.0,0.0
14.314249,-7.2347116,-4.9368777,1.0674299,-4.8123617,3.4529467,6.251769,11.521246,-6.8950624,-8.44718,13.629966,-3.3493495,6.1572475,-0.7926058,10.274413,10.313416,-4.3452034,6.842604,-3.7468765,-2.9819357,0.003305599948411304,2960.0468888716314,-362.35931396484375,0.0,0.06944223,0.0,0.0,0.0,0.0,0.0,40.96554,0.0,173.41824,0.0,207.25581,89.602135,0.0,0.0,0.0,199.95563,153.23782,42.955997,117.22654,337.28357,0.0,21.040792,117.703476,0.0,0.0,15.138349,97.942505,34.621315,103.18294,0.0,0.0,0.0,67.89294,0.0,0.4151883,102.394455,0.0,0.0,0.0,123.61367,0.0,17.931242,82.570465,0.0,0.0,0.0,0.0,0.0,0.0
-14.427397,5.046263,3.1718438,-2.8554275,-1.864934,4.0798163,-0.082784876,4.2942295,1.6795328,-0.44138417,-0.50443065,1.1753054,-1.419339,-1.7428615,-1.78288,-1.3856162,-0.15563147,-0.88826114,-1.0661196,0.5307445,0.6694159507465419,3111.4044324519214,643.604248046875,79.84475,0.0,0.0,1.3176566,19.328651,0.0,0.0,33.768185,0.0,0.0,58.44988,14.725715,0.0,0.0,122.45893,0.0,0.0,65.77837,0.0,0.0,0.0,0.0,0.0,0.0,32.89697,88.366745,0.0,0.0,79.67496,66.39468,85.09887,28.352602,0.0,0.0,52.379467,0.0,0.0,0.0,6.3777733,43.04763,0.0,36.651615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0223236,10.527363,2.5806558,-2.016247,1.5277804,6.268718,-4.003678,3.5693853,-3.7787564,-0.38295263,1.9754231,1.7045114,-4.2560043,-1.1060456,-2.7323081,-0.73674613,2.1860456,-2.7700388,-4.573832,2.2087038,0.2028714666284701,4195.88191026755,796.3621826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9824,0.0,0.0,125.156784,0.0,0.0,0.0,0.0,53.59182,0.0,0.0,0.0,0.0,84.15879,45.904366,0.0,0.0,0.0,0.0,3.9448411,28.558357,0.0,0.0,87.31739,0.0,51.469666,0.0,0.0,0.0,22.973783,0.0,0.0,0.0,0.0,78.58327,35.12991,0.0,0.0,0.0,0.0,0.0
-5.471945,7.14899,7.747286,0.035414815,-3.1313474,7.153045,-3.857093,3.592756,1.1537026,1.1846858,-0.87026757,-1.3542855,-2.1530128,-3.0057075,-3.4721014,2.3005996,-1.902902,-0.1736656,-0.22318581,0.046341393,0.604913427083134,4240.462941064729,690.0733642578125,110.4836,0.0,35.673733,0.0,0.0,13.691465,0.0,37.67668,0.0,48.426735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.81145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.758583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
